Category,Method,Set_idx,MAE,RMSE,Time
MNAR,MiceForest,61,0.5235696067322585,0.7052747363189906,15.05614423751831
MNAR,GAIN,62,inf,inf,5.241092681884766
MNAR,MiceForest,62,0.5361595147815162,0.7181150568816363,15.174277067184448
MNAR,GAIN,63,inf,inf,5.265878438949585
MNAR,MiceForest,63,0.5238543453747417,0.7031876315678042,15.407520532608032
MNAR,GAIN,64,inf,inf,5.2952024936676025
MNAR,MiceForest,64,0.5233637178150357,0.7080286649433944,15.390492916107178
MNAR,GAIN,65,inf,inf,5.442195415496826
MNAR,MiceForest,65,0.5041659174092047,0.6769194218890998,15.2487633228302
MNAR,GAIN,7,inf,inf,5.527696132659912
MNAR,MiceForest,7,0.5238625595107108,0.7019862694218941,15.551996231079102
MNAR,GAIN,8,inf,inf,5.804302453994751
MNAR,MiceForest,8,0.502707891201296,0.6696517362440118,15.349889993667603
MNAR,GAIN,9,inf,inf,5.662229776382446
MNAR,MiceForest,9,0.5173210508765732,0.6921775975937065,15.601818323135376
